FID IID CB1908_IC50 CB1908_log2_IC50
1120 1120 6.774791751 2.76017660042708
1121 1121 9.343091977 3.22390007045784
1122 1122 7.704510026 2.94570321040173
1123 1123 4.490398431 2.16684346031733
1124 1124 7.308824594 2.86963941045193
1125 1125 6.503046007 2.70111563042679
1126 1126 4.419228628 2.1437945705947
1127 1127 5.108257002 2.3528311104329
1128 1128 4.221031894 2.07759573030053
1129 1129 6.792789278 2.76400410042509
1130 1130 5.274964192 2.3991613004171
1131 1131 6.907481918 2.78815988044046
1132 1132 4.432046846 2.14797313051497
1133 1133 7.258275212 2.859626760518
1134 1134 7.333912078 2.87458297052276
1135 1135 7.159089325 2.83977608052504
1136 1136 6.381597202 2.67391755048243
1137 1137 4.862449344 2.28168322047607
1138 1138 6.123477813 2.61435126051306
1139 1139 4.891448087 2.29026163054819
1140 1140 6.964156628 2.79994865041833
1141 1141 10.23051482 3.35480684110187
1142 1142 4.358214641 2.12373725057974
1143 1143 5.474280237 2.45266929041747
1144 1144 10.93979372 3.45151362991557
1145 1145 4.376321357 2.12971868034432
1146 1146 8.335929813 3.05934313043994
1147 1147 5.697918596 2.51043501057261
1148 1148 4.476186013 2.16226999039307
1149 1149 5.054482115 2.33756328037821
1150 1150 7.886438999 2.97937402036869
1151 1151 6.484608879 2.69701956054579
1152 1152 5.653718412 2.49920003036971
1153 1153 6.662264401 2.73601261045811
1154 1154 8.860227179 3.14734369040725
1155 1155 5.600157182 2.48546732047551
1156 1156 6.800888601 2.76572326055429
1157 1157 7.137640407 2.83544722050914
1158 1158 5.35576389 2.42109236054376
1159 1159 10.1986874 3.35031158008741
1160 1160 4.443463201 2.1516845403922
1161 1161 5.651764807 2.49870143049232
1162 1162 6.642484197 2.73172289043323
1163 1163 9.055302274 3.17876280041588
1164 1164 4.947614107 2.30673298058349
1165 1165 6.538699218 2.70900366043391
1166 1166 6.324535782 2.66095959054455
1167 1167 5.096423477 2.34948516040119
1168 1168 4.795746133 2.26175529045445
1169 1169 6.134792384 2.61701452047467
1170 1170 6.389370903 2.67567389051475
1171 1171 5.995354205 2.58384499045375
1172 1172 5.877558244 2.55521693041826
1173 1173 5.606679377 2.48714657035036
1174 1174 7.102231422 2.82827237048733
1175 1175 6.777682195 2.76079199054768
1176 1176 4.742201188 2.24555687049027
